support,itemsets
0.8392741412832145,frozenset({'level_haut'})
0.7861309138042774,frozenset({'reason_treatment'})
0.7077122488658457,frozenset({'uth_oui'})
0.7070641607258588,"frozenset({'level_haut', 'uth_oui'})"
0.6694750486066104,"frozenset({'level_haut', 'reason_treatment'})"
0.5709656513285807,frozenset({'attendance_first'})
0.5463383020090732,"frozenset({'reason_treatment', 'uth_oui'})"
0.5463383020090732,"frozenset({'level_haut', 'reason_treatment', 'uth_oui'})"
0.5035644847699287,frozenset({'target_inappropriate'})
0.48088139987038236,"frozenset({'level_haut', 'attendance_first'})"
0.4497731691510045,"frozenset({'reason_treatment', 'attendance_first'})"
0.4270900842514582,frozenset({'attendance_review'})
0.41801685029163965,"frozenset({'target_inappropriate', 'level_haut'})"
0.41607258587167856,"frozenset({'target_inappropriate', 'reason_treatment'})"
0.41088788075178223,"frozenset({'target_inappropriate', 'uth_oui'})"
0.4102397926117952,"frozenset({'target_inappropriate', 'level_haut', 'uth_oui'})"
0.3946856772521063,"frozenset({'attendance_first', 'uth_oui'})"
0.3940375891121192,"frozenset({'level_haut', 'attendance_first', 'uth_oui'})"
0.3869086195722618,frozenset({'target_appropriate'})
0.3843162670123137,"frozenset({'level_haut', 'reason_treatment', 'attendance_first'})"
0.356448476992871,"frozenset({'level_haut', 'attendance_review'})"
0.3486714193130266,"frozenset({'target_inappropriate', 'level_haut', 'reason_treatment'})"
0.3480233311730395,frozenset({'spec_head_neck'})
0.34348671419313026,frozenset({'spec_rhinology'})
0.34154244977316917,"frozenset({'target_inappropriate', 'reason_treatment', 'uth_oui'})"
0.34154244977316917,"frozenset({'target_inappropriate', 'level_haut', 'reason_treatment', 'uth_oui'})"
0.3357096565132858,frozenset({'age_adulte'})
0.33506156837329876,"frozenset({'reason_treatment', 'attendance_review'})"
0.3123784834737524,"frozenset({'level_haut', 'target_appropriate'})"
0.31108230719377833,"frozenset({'level_haut', 'attendance_review', 'uth_oui'})"
0.31108230719377833,"frozenset({'attendance_review', 'uth_oui'})"
0.3020090732339598,"frozenset({'level_haut', 'reason_treatment', 'attendance_first', 'uth_oui'})"
0.3020090732339598,"frozenset({'reason_treatment', 'attendance_first', 'uth_oui'})"
0.2968243681140635,"frozenset({'level_haut', 'target_appropriate', 'uth_oui'})"
0.2968243681140635,"frozenset({'target_appropriate', 'uth_oui'})"
0.2961762799740765,"frozenset({'target_inappropriate', 'attendance_first'})"
0.29228775113415423,frozenset({'uth_non'})
0.28839922229423204,"frozenset({'spec_rhinology', 'level_haut'})"
0.28775113415424497,"frozenset({'level_haut', 'age_adulte'})"
0.2838626053143227,"frozenset({'level_haut', 'reason_treatment', 'attendance_review'})"
0.28191834089436163,"frozenset({'level_haut', 'spec_head_neck'})"
0.2812702527543746,"frozenset({'reason_treatment', 'age_adulte'})"
0.2676604018146468,"frozenset({'reason_treatment', 'spec_head_neck'})"
0.26312378483473753,"frozenset({'target_appropriate', 'reason_treatment'})"
0.2572909915748542,frozenset({'spec_otology'})
0.25210628645495786,"frozenset({'spec_rhinology', 'reason_treatment'})"
0.24497731691510044,"frozenset({'level_haut', 'reason_treatment', 'age_adulte'})"
0.24432922877511343,"frozenset({'spec_rhinology', 'uth_oui'})"
0.24432922877511343,"frozenset({'target_inappropriate', 'level_haut', 'attendance_first'})"
0.24432922877511343,"frozenset({'spec_rhinology', 'level_haut', 'uth_oui'})"
0.24303305249513935,"frozenset({'level_haut', 'reason_treatment', 'attendance_review', 'uth_oui'})"
0.24303305249513935,"frozenset({'reason_treatment', 'attendance_review', 'uth_oui'})"
0.24173687621516526,"frozenset({'target_inappropriate', 'attendance_first', 'uth_oui'})"
0.24108878807517822,"frozenset({'target_inappropriate', 'level_haut', 'attendance_first', 'uth_oui'})"
0.24044069993519118,"frozenset({'age_adulte', 'level_haut', 'uth_oui'})"
0.24044069993519118,"frozenset({'age_adulte', 'uth_oui'})"
0.23979261179520414,"frozenset({'spec_head_neck', 'uth_oui'})"
0.23979261179520414,"frozenset({'uth_non', 'reason_treatment'})"
0.2391445236552171,"frozenset({'level_haut', 'spec_head_neck', 'uth_oui'})"
0.23849643551523006,"frozenset({'target_inappropriate', 'reason_treatment', 'attendance_first'})"
0.23071937783538563,"frozenset({'reason_treatment', 'spec_otology'})"
0.22488658457550226,"frozenset({'level_haut', 'spec_otology'})"
0.22164614387556708,"frozenset({'level_haut', 'reason_treatment', 'spec_head_neck'})"
0.21451717433570966,"frozenset({'level_haut', 'reason_treatment', 'target_appropriate'})"
0.21451717433570966,"frozenset({'spec_rhinology', 'level_haut', 'reason_treatment'})"
0.21322099805573558,"frozenset({'attendance_first', 'age_adulte'})"
0.20609202851587816,"frozenset({'target_inappropriate', 'attendance_review'})"
0.20479585223590407,"frozenset({'target_appropriate', 'reason_treatment', 'uth_oui'})"
0.20479585223590407,"frozenset({'target_appropriate', 'level_haut', 'reason_treatment', 'uth_oui'})"
0.2015554115359689,"frozenset({'level_haut', 'reason_treatment', 'spec_otology'})"
0.19961114711600778,"frozenset({'age_adulte', 'level_haut', 'reason_treatment', 'uth_oui'})"
0.19961114711600778,"frozenset({'age_adulte', 'reason_treatment', 'uth_oui'})"
0.19896305897602073,"frozenset({'target_appropriate', 'attendance_first'})"
0.1983149708360337,"frozenset({'target_inappropriate', 'level_haut', 'reason_treatment', 'attendance_first'})"
0.19572261827608556,"frozenset({'target_inappropriate', 'reason_treatment', 'attendance_first', 'uth_oui'})"
0.19572261827608556,"frozenset({'target_inappropriate', 'level_haut', 'attendance_first', 'uth_oui', 'reason_treatment'})"
0.19572261827608556,"frozenset({'target_inappropriate', 'spec_head_neck'})"
0.1879455605962411,"frozenset({'spec_head_neck', 'attendance_first'})"
0.18729747245625405,"frozenset({'target_appropriate', 'attendance_review'})"
0.18600129617627997,"frozenset({'level_haut', 'uth_oui', 'spec_otology'})"
0.18600129617627997,frozenset({'age_enfant'})
0.18600129617627997,"frozenset({'uth_oui', 'spec_otology'})"
0.18211276733635776,"frozenset({'level_haut', 'attendance_first', 'age_adulte'})"
0.18081659105638367,"frozenset({'reason_treatment', 'spec_head_neck', 'uth_oui'})"
0.18081659105638367,"frozenset({'level_haut', 'reason_treatment', 'spec_head_neck', 'uth_oui'})"
0.18016850291639663,"frozenset({'target_inappropriate', 'age_adulte'})"
0.17887232663642255,"frozenset({'reason_treatment', 'attendance_first', 'age_adulte'})"
0.1782242384964355,"frozenset({'spec_rhinology', 'attendance_first'})"
0.1762799740764744,"frozenset({'target_inappropriate', 'reason_treatment', 'attendance_review'})"
0.1762799740764744,"frozenset({'uth_non', 'attendance_first'})"
0.1743357096565133,"frozenset({'spec_rhinology', 'reason_treatment', 'uth_oui'})"
0.1743357096565133,"frozenset({'spec_rhinology', 'level_haut', 'reason_treatment', 'uth_oui'})"
0.17239144523655217,"frozenset({'target_inappropriate', 'level_haut', 'attendance_review'})"
0.1678548282566429,"frozenset({'attendance_first', 'spec_otology'})"
0.1678548282566429,"frozenset({'target_inappropriate', 'attendance_review', 'uth_oui'})"
0.1678548282566429,"frozenset({'target_inappropriate', 'level_haut', 'attendance_review', 'uth_oui'})"
0.16720674011665587,"frozenset({'target_inappropriate', 'spec_rhinology'})"
0.1659105638366818,frozenset({'age_tout_petit'})
0.16526247569669475,"frozenset({'uth_oui', 'reason_treatment', 'spec_otology'})"
0.16526247569669475,"frozenset({'level_haut', 'reason_treatment', 'uth_oui', 'spec_otology'})"
0.1646143875567077,"frozenset({'spec_rhinology', 'attendance_review'})"
0.16137394685677253,"frozenset({'level_haut', 'attendance_first', 'target_appropriate'})"
0.1607258587167855,"frozenset({'target_inappropriate', 'level_haut', 'spec_head_neck'})"
0.1594296824368114,"frozenset({'target_inappropriate', 'spec_head_neck', 'uth_oui'})"
0.15878159429682437,"frozenset({'target_inappropriate', 'level_haut', 'spec_head_neck', 'uth_oui'})"
0.15878159429682437,"frozenset({'attendance_review', 'spec_head_neck'})"
0.15813350615683733,"frozenset({'target_inappropriate', 'reason_treatment', 'spec_head_neck'})"
0.1561892417368762,"frozenset({'target_inappropriate', 'reason_treatment', 'age_adulte'})"
0.1542449773169151,"frozenset({'level_haut', 'reason_treatment', 'attendance_first', 'age_adulte'})"
0.15359688917692807,"frozenset({'target_inappropriate', 'level_haut', 'age_adulte'})"
0.15359688917692807,"frozenset({'level_haut', 'age_enfant'})"
0.15294880103694103,"frozenset({'level_haut', 'target_appropriate', 'attendance_first', 'uth_oui'})"
0.15294880103694103,"frozenset({'level_haut', 'spec_head_neck', 'attendance_first'})"
0.15294880103694103,"frozenset({'target_appropriate', 'attendance_first', 'uth_oui'})"
0.15165262475696695,"frozenset({'spec_rhinology', 'level_haut', 'attendance_first'})"
0.15035644847699287,"frozenset({'age_adulte', 'attendance_first', 'uth_oui'})"
0.15035644847699287,"frozenset({'age_adulte', 'level_haut', 'attendance_first', 'uth_oui'})"
0.15035644847699287,"frozenset({'level_haut', 'attendance_review', 'target_appropriate'})"
0.14970836033700582,"frozenset({'target_inappropriate', 'age_adulte', 'uth_oui'})"
0.14970836033700582,"frozenset({'target_inappropriate', 'level_haut', 'age_adulte', 'uth_oui'})"
0.14906027219701878,"frozenset({'target_inappropriate', 'level_haut', 'reason_treatment', 'attendance_review'})"
0.14906027219701878,"frozenset({'reason_treatment', 'attendance_first', 'spec_otology'})"
0.14776409591704473,"frozenset({'uth_non', 'reason_treatment', 'attendance_first'})"
0.1471160077770577,frozenset({'age_adulte_mature'})
0.14517174335709657,"frozenset({'level_haut', 'attendance_first', 'spec_otology'})"
0.14452365521710953,"frozenset({'reason_treatment', 'spec_head_neck', 'attendance_first'})"
0.14452365521710953,"frozenset({'target_inappropriate', 'level_haut', 'uth_oui', 'reason_treatment', 'attendance_review'})"
0.14452365521710953,"frozenset({'target_inappropriate', 'reason_treatment', 'attendance_review', 'uth_oui'})"
0.14322747893713544,"frozenset({'target_appropriate', 'attendance_review', 'uth_oui'})"
0.14322747893713544,"frozenset({'target_appropriate', 'level_haut', 'attendance_review', 'uth_oui'})"
0.14128321451717435,"frozenset({'target_inappropriate', 'level_haut', 'spec_rhinology'})"
0.1406351263771873,"frozenset({'spec_rhinology', 'target_appropriate'})"
0.13869086195722619,"frozenset({'target_inappropriate', 'level_haut', 'spec_rhinology', 'uth_oui'})"
0.13869086195722619,"frozenset({'target_inappropriate', 'spec_rhinology', 'uth_oui'})"
0.13869086195722619,"frozenset({'target_inappropriate', 'spec_rhinology', 'reason_treatment'})"
0.13674659753726506,"frozenset({'level_haut', 'uth_oui', 'age_enfant'})"
0.13674659753726506,"frozenset({'level_haut', 'age_tout_petit'})"
0.13674659753726506,"frozenset({'uth_oui', 'age_enfant'})"
0.13609850939727802,"frozenset({'spec_rhinology', 'level_haut', 'attendance_review'})"
0.13609850939727802,"frozenset({'target_appropriate', 'reason_treatment', 'attendance_first'})"
0.13545042125729098,"frozenset({'target_inappropriate', 'level_haut', 'reason_treatment', 'age_adulte'})"
0.1322099805573558,"frozenset({'level_haut', 'uth_non'})"
0.1322099805573558,"frozenset({'target_inappropriate', 'level_haut', 'uth_oui', 'reason_treatment', 'age_adulte'})"
0.1322099805573558,"frozenset({'target_inappropriate', 'age_adulte', 'reason_treatment', 'uth_oui'})"
0.13156189241736876,"frozenset({'target_inappropriate', 'level_haut', 'reason_treatment', 'spec_head_neck'})"
0.13156189241736876,"frozenset({'spec_rhinology', 'reason_treatment', 'attendance_first'})"
0.12961762799740764,"frozenset({'target_inappropriate', 'reason_treatment', 'spec_head_neck', 'uth_oui'})"
0.12961762799740764,"frozenset({'target_inappropriate', 'level_haut', 'uth_oui', 'reason_treatment', 'spec_head_neck'})"
0.12961762799740764,"frozenset({'reason_treatment', 'age_enfant'})"
0.12767336357744652,"frozenset({'level_haut', 'reason_treatment', 'attendance_first', 'spec_otology'})"
0.12767336357744652,"frozenset({'level_haut', 'attendance_review', 'spec_head_neck'})"
0.1270252754374595,"frozenset({'target_appropriate', 'reason_treatment', 'attendance_review'})"
0.12572909915748542,frozenset({'level_bas'})
0.12508101101749838,"frozenset({'uth_non', 'level_bas'})"
0.1237848347375243,"frozenset({'spec_head_neck', 'attendance_first', 'uth_oui'})"
0.12313674659753726,"frozenset({'spec_rhinology', 'level_haut', 'attendance_first', 'uth_oui'})"
0.12313674659753726,"frozenset({'level_haut', 'uth_non', 'reason_treatment'})"
0.12313674659753726,"frozenset({'spec_rhinology', 'attendance_first', 'uth_oui'})"
0.12313674659753726,"frozenset({'level_haut', 'attendance_first', 'uth_oui', 'reason_treatment', 'age_adulte'})"
0.12313674659753726,"frozenset({'age_adulte', 'reason_treatment', 'attendance_first', 'uth_oui'})"
0.12313674659753726,"frozenset({'level_haut', 'spec_head_neck', 'attendance_first', 'uth_oui'})"
0.12248865845755022,"frozenset({'age_adulte_mature', 'reason_treatment'})"
0.12248865845755022,"frozenset({'age_adulte_mature', 'level_haut'})"
0.1218405703175632,"frozenset({'reason_treatment', 'spec_head_neck', 'attendance_review'})"
0.1218405703175632,"frozenset({'target_appropriate', 'spec_otology'})"
0.12119248217757615,"frozenset({'attendance_review', 'age_adulte'})"
0.12119248217757615,"frozenset({'level_haut', 'attendance_first', 'uth_oui', 'spec_otology'})"
0.12119248217757615,"frozenset({'uth_oui', 'attendance_first', 'spec_otology'})"
0.12054439403758911,"frozenset({'spec_rhinology', 'level_haut', 'attendance_review', 'uth_oui'})"
0.12054439403758911,"frozenset({'spec_rhinology', 'attendance_review', 'uth_oui'})"
0.12054439403758911,"frozenset({'spec_rhinology', 'reason_treatment', 'attendance_review'})"
0.11989630589760207,"frozenset({'age_tout_petit', 'uth_oui'})"
0.11989630589760207,"frozenset({'level_haut', 'reason_treatment', 'spec_head_neck', 'attendance_first'})"
0.11989630589760207,"frozenset({'level_haut', 'age_tout_petit', 'uth_oui'})"
0.118600129617628,"frozenset({'target_inappropriate', 'level_haut', 'reason_treatment', 'spec_rhinology'})"
0.11795204147764096,"frozenset({'age_tout_petit', 'reason_treatment'})"
0.11795204147764096,"frozenset({'target_appropriate', 'spec_head_neck'})"
0.11730395333765392,"frozenset({'age_adulte', 'spec_otology'})"
0.11600777705767984,"frozenset({'target_inappropriate', 'spec_rhinology', 'reason_treatment', 'uth_oui'})"
0.11600777705767984,"frozenset({'target_inappropriate', 'level_haut', 'uth_oui', 'reason_treatment', 'spec_rhinology'})"
0.11600777705767984,"frozenset({'target_inappropriate', 'attendance_first', 'age_adulte'})"
0.11600777705767984,"frozenset({'uth_non', 'attendance_review'})"
0.11535968891769281,"frozenset({'target_appropriate', 'age_adulte'})"
0.11471160077770577,"frozenset({'spec_rhinology', 'level_haut', 'reason_treatment', 'attendance_first'})"
0.11471160077770577,"frozenset({'attendance_review', 'spec_head_neck', 'uth_oui'})"
0.11471160077770577,"frozenset({'level_haut', 'attendance_review', 'spec_head_neck', 'uth_oui'})"
0.11211924821775761,"frozenset({'spec_head_neck', 'age_adulte'})"
0.11147116007777058,"frozenset({'level_haut', 'reason_treatment', 'attendance_first', 'target_appropriate'})"
0.11147116007777058,"frozenset({'spec_rhinology', 'level_haut', 'target_appropriate'})"
0.10952689565780946,frozenset({'target_not_applicable'})
0.10952689565780946,"frozenset({'uth_non', 'target_not_applicable'})"
0.10887880751782242,"frozenset({'level_haut', 'uth_non', 'target_not_applicable'})"
0.10887880751782242,"frozenset({'level_haut', 'target_not_applicable'})"
0.10887880751782242,"frozenset({'target_inappropriate', 'spec_head_neck', 'attendance_first'})"
0.10887880751782242,"frozenset({'target_appropriate', 'reason_treatment', 'spec_otology'})"
0.10823071937783539,"frozenset({'uth_non', 'spec_head_neck'})"
0.10823071937783539,"frozenset({'level_haut', 'target_appropriate', 'spec_otology'})"
0.10693454309786131,"frozenset({'uth_non', 'reason_treatment', 'target_not_applicable'})"
0.10693454309786131,"frozenset({'reason_treatment', 'target_not_applicable'})"
0.10693454309786131,"frozenset({'age_adulte', 'reason_treatment', 'spec_otology'})"
0.10693454309786131,"frozenset({'level_haut', 'reason_treatment', 'age_enfant'})"
0.10628645495787427,"frozenset({'level_haut', 'attendance_first', 'uth_oui', 'target_appropriate', 'reason_treatment'})"
0.10628645495787427,"frozenset({'level_haut', 'reason_treatment', 'target_not_applicable'})"
0.10628645495787427,"frozenset({'target_appropriate', 'reason_treatment', 'attendance_first', 'uth_oui'})"
0.10628645495787427,"frozenset({'level_haut', 'uth_non', 'reason_treatment', 'target_not_applicable'})"
0.10563836681788723,"frozenset({'uth_oui', 'target_appropriate', 'spec_otology'})"
0.10563836681788723,"frozenset({'spec_rhinology', 'level_haut', 'target_appropriate', 'uth_oui'})"
0.10563836681788723,"frozenset({'level_haut', 'target_appropriate', 'uth_oui', 'spec_otology'})"
0.10563836681788723,"frozenset({'spec_rhinology', 'target_appropriate', 'uth_oui'})"
0.10434219053791316,"frozenset({'level_haut', 'attendance_review', 'age_adulte'})"
0.10434219053791316,"frozenset({'uth_oui', 'reason_treatment', 'attendance_first', 'spec_otology'})"
0.10434219053791316,"frozenset({'age_adulte_mature', 'level_haut', 'reason_treatment'})"
0.10434219053791316,"frozenset({'level_haut', 'attendance_first', 'spec_otology', 'uth_oui', 'reason_treatment'})"
0.10304601425793908,"frozenset({'age_adulte', 'level_haut', 'spec_otology'})"
0.10304601425793908,"frozenset({'level_haut', 'reason_treatment', 'attendance_review', 'target_appropriate'})"
0.10110174983797797,"frozenset({'target_inappropriate', 'spec_otology'})"
0.10110174983797797,"frozenset({'reason_treatment', 'attendance_review', 'age_adulte'})"
0.10045366169799093,"frozenset({'level_haut', 'reason_treatment', 'spec_head_neck', 'attendance_review'})"
